debitur_id,skor_kredit_internal,subsegmen_properti,wilayah_agunan,nilai_agunan_awal,nilai_agunan_kini,plafon_pinjaman,ltv_awal,ltv_kini,tenor_bulan,pendapatan_bulanan,dti_ratio,jumlah_tanggungan,status_pekerjaan,jumlah_tunggakan_historis,utilisasi_kartu_kredit,metode_pembayaran,usia_bangunan_tahun,jenis_sertifikat,status_risiko,flag_gagal_bayar,y_pred_proba (sigmoid),"y_pred (dibulatkan, threshold=0.5)",cluster,flag_skor_kredit,flag_utilisasi,flag_pendapatan
PBI-000001,700,Ruko-Komersial,Bekasi,1623000000,1141000000.0,1230000000,0.757855823,1.078001753,120,48500000.0,0.211340206,3,Wiraswasta,1,34.7,Transfer Manual,3.0,HGB,Lancar,0,0.5114304897789885,1,1,0,0,0
PBI-000002,662,Rumah Tapak,Bogor,1511000000,1496000000.0,1188000000,0.786234282,0.794117647,240,21200000.0,0.233490566,3,Karyawan Tetap,3,61.7,Transfer Manual,13.0,SHM,Lancar,0,0.5227427346240204,1,0,0,1,1
PBI-000003,696,Tanah Kavling,Depok,432000000,427000000.0,332000000,0.768518519,0.777517564,120,32700000.0,0.084607543,2,Karyawan Tetap,1,100.0,Transfer Manual,29.0,SHM,Lancar,0,0.41613244071469,0,0,0,1,0
PBI-000004,843,Ruko-Komersial,Tangerang (BSD/Serpong),2574000000,2001000000.0,2178000000,0.846153846,1.088455772,120,30100000.0,0.602990033,2,Karyawan Tetap,1,42.8,Auto-Debit,28.0,SHM,Lancar,0,0.31915188061487576,0,0,0,0,0
PBI-000005,500,Rumah Tapak,Jakarta Selatan,1376000000,1331000000.0,1115000000,0.810319767,0.837716003,84,22200000.0,0.597919348,3,Karyawan Tetap,2,89.3,Auto-Debit,,SHM,Menunggak,1,0.7797023350811088,1,0,1,1,1
PBI-000006,648,Apartemen,Jakarta Selatan,642000000,628000000.0,454000000,0.707165109,0.722929936,180,25700000.0,0.098140942,2,Wiraswasta,0,0.0,Virtual Account,25.0,HGB,Lancar,0,0.15354842198686955,0,1,1,0,1
PBI-000007,785,Rumah Tapak,Jakarta Selatan,1184000000,,848000000,0.716216216,#DIV/0!,240,33400000.0,0.105788423,1,Karyawan Tetap,0,30.4,Virtual Account,7.0,SHM,Lancar,0,0.15210993268018638,0,0,0,0,0
PBI-000008,686,Apartemen,Bogor,1075000000,1046000000.0,828000000,0.770232558,0.791586998,120,,#DIV/0!,4,Karyawan Tetap,3,57.4,Auto-Debit,16.0,SHM,Lancar,0,0.47496285667327415,0,0,0,1,1
PBI-000009,762,Tanah Kavling,Tangerang (BSD/Serpong),420000000,297000000.0,334000000,0.795238095,1.124579125,180,50000000.0,0.037111111,3,Wiraswasta,0,41.7,Auto-Debit,26.0,SHM,Lancar,0,0.32068602963776704,0,0,0,0,0
PBI-000010,607,Apartemen,Depok,559000000,532000000.0,416000000,0.744186047,0.781954887,180,31900000.0,0.072448624,3,Wiraswasta,1,58.9,Transfer Manual,26.0,HGB,Lancar,0,0.47978484465063187,0,1,1,1,0
PBI-000011,554,Apartemen,Jakarta Selatan,984000000,968000000.0,788000000,0.800813008,0.814049587,120,16300000.0,0.402862986,2,Karyawan Tetap,1,20.3,Auto-Debit,12.0,SHM,Lancar,0,0.5059200643475985,1,0,1,0,1
PBI-000012,822,Rumah Tapak,Bogor,1402000000,1354000000.0,1103000000,0.786733238,0.814623338,240,31500000.0,0.145899471,4,Karyawan Tetap,1,96.5,Virtual Account,28.0,HGB,Lancar,0,0.26486228538813456,0,1,0,1,0
PBI-000013,666,Apartemen,Bogor,912000000,879000000.0,698000000,0.765350877,0.794084187,180,27400000.0,0.141524736,0,Karyawan Tetap,3,83.5,Auto-Debit,10.0,SHM,DPK,0,0.5575592368733261,1,0,0,1,0
PBI-000014,730,Apartemen,Jakarta Selatan,477000000,461000000.0,376000000,0.788259958,0.815618221,240,29800000.0,0.052572707,3,Karyawan Tetap,1,62.0,Transfer Manual,,HGB,Lancar,0,0.33278784402683803,0,1,0,1,0
PBI-000015,736,Rumah Tapak,Jakarta Selatan,1703000000,1693000000.0,1426000000,0.83734586,0.84229179,120,18700000.0,0.635472371,5,Karyawan Tetap,3,19.9,Auto-Debit,12.0,HGB,Lancar,0,0.36396018822696874,0,1,0,0,1
PBI-000016,769,Apartemen,Jakarta Selatan,1164000000,1133000000.0,857000000,0.736254296,0.756398941,240,12700000.0,0.281167979,2,Karyawan Tetap,0,45.5,Auto-Debit,18.0,SHM,Lancar,0,0.13340599033918119,0,0,0,1,1
PBI-000017,685,Apartemen,Bekasi,1083000000,797000000.0,887000000,0.819021237,1.112923463,120,45800000.0,0.161390102,2,Wiraswasta,0,71.5,Auto-Debit,30.0,SHM,Lancar,0,0.4847080468583898,0,0,0,1,0
PBI-000018,689,Rumah Tapak,Tangerang (BSD/Serpong),1337000000,1096000000.0,938000000,0.701570681,0.855839416,60,42200000.0,0.370458136,3,Wiraswasta,6,30.5,Auto-Debit,22.0,SHM,DPK,0,0.5391810096047083,1,0,0,0,0
PBI-000019,702,Ruko-Komersial,Bekasi,1677000000,1338000000.0,1195000000,0.712581992,0.893124066,60,26000000.0,0.766025641,0,Wiraswasta,0,83.2,Auto-Debit,22.0,HGB,DPK,0,0.334771957398204,0,1,0,1,1
PBI-000020,605,Rumah Tapak,Bekasi,1780000000,1459000000.0,1500000000,0.842696629,1.028101439,60,13800000.0,1.811594203,0,Karyawan Tetap,0,55.3,Virtual Account,16.0,SHM,Menunggak,1,0.5222659234171176,1,0,1,1,1
PBI-000021,749,Rumah Tapak,Tangerang (BSD/Serpong),672000000,482000000.0,541000000,0.805059524,1.122406639,84,23100000.0,0.278808493,3,Karyawan Tetap,1,41.2,Auto-Debit,7.0,SHM,DPK,0,0.4762308865568452,0,0,0,0,1
PBI-000022,611,Rumah Tapak,Jakarta Selatan,1461000000,1398000000.0,1161000000,0.794661191,0.830472103,84,16700000.0,0.827630453,3,Karyawan Tetap,6,69.2,Auto-Debit,23.0,SHM,Menunggak,1,0.7044077628949995,1,0,1,1,1
PBI-000023,754,Rumah Tapak,Bekasi,1047000000,863000000.0,785000000,0.749761223,0.909617613,60,18100000.0,0.722836096,5,Wiraswasta,3,24.9,Auto-Debit,28.0,SHM,Lancar,0,0.39987431719877264,0,0,0,0,1
PBI-000024,728,Tanah Kavling,Bekasi,829000000,610000000.0,603000000,0.727382388,0.98852459,240,23000000.0,0.10923913,2,Karyawan Tetap,1,37.4,Transfer Manual,20.0,SHM,Lancar,0,0.4151318016001424,0,0,0,0,1
PBI-000025,472,Apartemen,Tangerang (BSD/Serpong),1189000000,946000000.0,900000000,0.756938604,0.951374207,240,,#DIV/0!,2,Profesional,1,31.2,Auto-Debit,6.0,HGB,Lancar,0,0.7416424317412627,1,1,1,0,1
PBI-000026,729,Rumah Tapak,Depok,1231000000,1189000000.0,972000000,0.78960195,0.817493692,180,34500000.0,0.156521739,3,Wiraswasta,8,4.7,Virtual Account,,HGB,Lancar,0,0.4066002779215696,0,1,0,0,0
PBI-000027,680,Tanah Kavling,Jakarta Selatan,863000000,842000000.0,686000000,0.794901506,0.814726841,120,35700000.0,0.160130719,1,Profesional,2,0.0,Transfer Manual,10.0,SHM,Lancar,0,0.3306929360489516,0,0,0,0,0
PBI-000028,773,Ruko-Komersial,Tangerang (BSD/Serpong),2807000000,2187000000.0,2036000000,0.725329533,0.930955647,120,50000000.0,0.339333333,1,Wiraswasta,0,22.7,Virtual Account,9.0,SHM,Lancar,0,0.18131549581889753,0,0,0,0,0
PBI-000029,807,Apartemen,Tangerang (BSD/Serpong),458000000,329000000.0,351000000,0.766375546,1.066869301,120,50000000.0,0.0585,4,Profesional,2,26.8,Auto-Debit,9.0,SHM,Lancar,0,0.3894077672662962,0,0,0,0,0
PBI-000030,669,Apartemen,Jakarta Selatan,612000000,593000000.0,480000000,0.784313725,0.809443508,120,14200000.0,0.281690141,3,Wiraswasta,5,61.5,Transfer Manual,8.0,HGB,DPK,0,0.5766297695798629,1,1,0,1,1
